dteday,yr,mnth,season,weathersit,cnt,registered,casual
2012-02-08,2012,Februari,Musim Semi,Mendung,2802,2693,109
2012-02-09,2012,Februari,Musim Semi,Cerah,3830,3667,163
2012-02-10,2012,Februari,Musim Semi,Mendung,3831,3604,227
2012-02-11,2012,Februari,Musim Semi,Salju Ringan/Hujan,2169,1977,192
2012-02-12,2012,Februari,Musim Semi,Cerah,1529,1456,73
2012-02-13,2012,Februari,Musim Semi,Cerah,3422,3328,94
2012-02-14,2012,Februari,Musim Semi,Mendung,3922,3787,135
2012-02-15,2012,Februari,Musim Semi,Cerah,4169,4028,141
2012-02-16,2012,Februari,Musim Semi,Mendung,3005,2931,74
2012-02-17,2012,Februari,Musim Semi,Cerah,4154,3805,349
2012-02-18,2012,Februari,Musim Semi,Cerah,4318,2883,1435
2012-02-19,2012,Februari,Musim Semi,Mendung,2689,2071,618
2012-02-20,2012,Februari,Musim Semi,Cerah,3129,2627,502
2012-02-21,2012,Februari,Musim Semi,Cerah,3777,3614,163
2012-02-22,2012,Februari,Musim Semi,Cerah,4773,4379,394
2012-02-23,2012,Februari,Musim Semi,Cerah,5062,4546,516
2012-02-24,2012,Februari,Musim Semi,Mendung,3487,3241,246
2012-02-25,2012,Februari,Musim Semi,Cerah,2732,2415,317
2012-02-26,2012,Februari,Musim Semi,Cerah,3389,2874,515
2012-02-27,2012,Februari,Musim Semi,Cerah,4322,4069,253
2012-02-28,2012,Februari,Musim Semi,Cerah,4363,4134,229
2012-02-29,2012,Februari,Musim Semi,Mendung,1834,1769,65
2012-03-01,2012,Maret,Musim Semi,Cerah,4990,4665,325
2012-03-02,2012,Maret,Musim Semi,Mendung,3194,2948,246
2012-03-03,2012,Maret,Musim Semi,Mendung,4066,3110,956
2012-03-04,2012,Maret,Musim Semi,Cerah,3423,2713,710
2012-03-05,2012,Maret,Musim Semi,Cerah,3333,3130,203
2012-03-06,2012,Maret,Musim Semi,Cerah,3956,3735,221
2012-03-07,2012,Maret,Musim Semi,Cerah,4916,4484,432
2012-03-08,2012,Maret,Musim Semi,Cerah,5382,4896,486
2012-03-09,2012,Maret,Musim Semi,Mendung,4569,4122,447
2012-03-10,2012,Maret,Musim Semi,Cerah,4118,3150,968
2012-03-11,2012,Maret,Musim Semi,Cerah,4911,3253,1658
2012-03-12,2012,Maret,Musim Semi,Cerah,5298,4460,838
2012-03-13,2012,Maret,Musim Semi,Cerah,5847,5085,762
2012-03-14,2012,Maret,Musim Semi,Cerah,6312,5315,997
2012-03-15,2012,Maret,Musim Semi,Cerah,6192,5187,1005
2012-03-16,2012,Maret,Musim Semi,Mendung,4378,3830,548
2012-03-17,2012,Maret,Musim Semi,Mendung,7836,4681,3155
2012-03-18,2012,Maret,Musim Semi,Mendung,5892,3685,2207
2012-03-19,2012,Maret,Musim Semi,Cerah,6153,5171,982
2012-03-20,2012,Maret,Musim Semi,Cerah,6093,5042,1051
2012-03-21,2012,Maret,Musim Panas,Mendung,6230,5108,1122
2012-03-22,2012,Maret,Musim Panas,Cerah,6871,5537,1334
2012-03-23,2012,Maret,Musim Panas,Mendung,8362,5893,2469
2012-03-24,2012,Maret,Musim Panas,Mendung,3372,2339,1033
2012-03-25,2012,Maret,Musim Panas,Mendung,4996,3464,1532
2012-03-26,2012,Maret,Musim Panas,Cerah,5558,4763,795
2012-03-27,2012,Maret,Musim Panas,Cerah,5102,4571,531
2012-03-28,2012,Maret,Musim Panas,Cerah,5698,5024,674
2012-03-29,2012,Maret,Musim Panas,Cerah,6133,5299,834
2012-03-30,2012,Maret,Musim Panas,Mendung,5459,4663,796
2012-03-31,2012,Maret,Musim Panas,Mendung,6235,3934,2301
2012-04-01,2012,April,Musim Panas,Mendung,6041,3694,2347
2012-04-02,2012,April,Musim Panas,Cerah,5936,4728,1208
2012-04-03,2012,April,Musim Panas,Cerah,6772,5424,1348
2012-04-04,2012,April,Musim Panas,Cerah,6436,5378,1058
2012-04-05,2012,April,Musim Panas,Cerah,6457,5265,1192
2012-04-06,2012,April,Musim Panas,Cerah,6460,4653,1807
2012-04-07,2012,April,Musim Panas,Cerah,6857,3605,3252
2012-04-08,2012,April,Musim Panas,Cerah,5169,2939,2230
2012-04-09,2012,April,Musim Panas,Cerah,5585,4680,905
2012-04-10,2012,April,Musim Panas,Cerah,5918,5099,819
2012-04-11,2012,April,Musim Panas,Cerah,4862,4380,482
2012-04-12,2012,April,Musim Panas,Cerah,5409,4746,663
2012-04-13,2012,April,Musim Panas,Cerah,6398,5146,1252
2012-04-14,2012,April,Musim Panas,Cerah,7460,4665,2795
2012-04-15,2012,April,Musim Panas,Cerah,7132,4286,2846
2012-04-16,2012,April,Musim Panas,Cerah,6370,5172,1198
2012-04-17,2012,April,Musim Panas,Cerah,6691,5702,989
2012-04-18,2012,April,Musim Panas,Mendung,4367,4020,347
2012-04-19,2012,April,Musim Panas,Cerah,6565,5719,846
2012-04-20,2012,April,Musim Panas,Cerah,7290,5950,1340
2012-04-21,2012,April,Musim Panas,Cerah,6624,4083,2541
2012-04-22,2012,April,Musim Panas,Salju Ringan/Hujan,1027,907,120
2012-04-23,2012,April,Musim Panas,Mendung,3214,3019,195
2012-04-24,2012,April,Musim Panas,Cerah,5633,5115,518
2012-04-25,2012,April,Musim Panas,Cerah,6196,5541,655
2012-04-26,2012,April,Musim Panas,Mendung,5026,4551,475
2012-04-27,2012,April,Musim Panas,Cerah,6233,5219,1014
2012-04-28,2012,April,Musim Panas,Mendung,4220,3100,1120
2012-04-29,2012,April,Musim Panas,Cerah,6304,4075,2229
2012-04-30,2012,April,Musim Panas,Mendung,5572,4907,665
2012-05-01,2012,Mei,Musim Panas,Mendung,5740,5087,653
2012-05-02,2012,Mei,Musim Panas,Cerah,6169,5502,667
2012-05-03,2012,Mei,Musim Panas,Mendung,6421,5657,764
2012-05-04,2012,Mei,Musim Panas,Cerah,6296,5227,1069
2012-05-05,2012,Mei,Musim Panas,Mendung,6883,4387,2496
2012-05-06,2012,Mei,Musim Panas,Mendung,6359,4224,2135
2012-05-07,2012,Mei,Musim Panas,Mendung,6273,5265,1008
2012-05-08,2012,Mei,Musim Panas,Mendung,5728,4990,738
2012-05-09,2012,Mei,Musim Panas,Mendung,4717,4097,620
2012-05-10,2012,Mei,Musim Panas,Cerah,6572,5546,1026
2012-05-11,2012,Mei,Musim Panas,Cerah,7030,5711,1319
2012-05-12,2012,Mei,Musim Panas,Cerah,7429,4807,2622
2012-05-13,2012,Mei,Musim Panas,Cerah,6118,3946,2172
2012-05-14,2012,Mei,Musim Panas,Mendung,2843,2501,342
2012-05-15,2012,Mei,Musim Panas,Mendung,5115,4490,625
2012-05-16,2012,Mei,Musim Panas,Cerah,7424,6433,991
2012-05-17,2012,Mei,Musim Panas,Cerah,7384,6142,1242
2012-05-18,2012,Mei,Musim Panas,Cerah,7639,6118,1521
2012-05-19,2012,Mei,Musim Panas,Cerah,8294,4884,3410
2012-05-20,2012,Mei,Musim Panas,Cerah,7129,4425,2704
2012-05-21,2012,Mei,Musim Panas,Mendung,4359,3729,630
2012-05-22,2012,Mei,Musim Panas,Mendung,6073,5254,819
2012-05-23,2012,Mei,Musim Panas,Mendung,5260,4494,766
2012-05-24,2012,Mei,Musim Panas,Cerah,6770,5711,1059
2012-05-25,2012,Mei,Musim Panas,Cerah,6734,5317,1417
2012-05-26,2012,Mei,Musim Panas,Cerah,6536,3681,2855
2012-05-27,2012,Mei,Musim Panas,Cerah,6591,3308,3283
2012-05-28,2012,Mei,Musim Panas,Cerah,6043,3486,2557
2012-05-29,2012,Mei,Musim Panas,Cerah,5743,4863,880
2012-05-30,2012,Mei,Musim Panas,Mendung,6855,6110,745
2012-05-31,2012,Mei,Musim Panas,Cerah,7338,6238,1100
2012-06-01,2012,Juni,Musim Panas,Mendung,4127,3594,533
2012-06-02,2012,Juni,Musim Panas,Cerah,8120,5325,2795
2012-06-03,2012,Juni,Musim Panas,Cerah,7641,5147,2494
2012-06-04,2012,Juni,Musim Panas,Cerah,6998,5927,1071
2012-06-05,2012,Juni,Musim Panas,Mendung,7001,6033,968
2012-06-06,2012,Juni,Musim Panas,Cerah,7055,6028,1027
2012-06-07,2012,Juni,Musim Panas,Cerah,7494,6456,1038
2012-06-08,2012,Juni,Musim Panas,Cerah,7736,6248,1488
2012-06-09,2012,Juni,Musim Panas,Cerah,7498,4790,2708
2012-06-10,2012,Juni,Musim Panas,Cerah,6598,4374,2224
2012-06-11,2012,Juni,Musim Panas,Mendung,6664,5647,1017
2012-06-12,2012,Juni,Musim Panas,Mendung,4972,4495,477
2012-06-13,2012,Juni,Musim Panas,Cerah,7421,6248,1173
2012-06-14,2012,Juni,Musim Panas,Cerah,7363,6183,1180
2012-06-15,2012,Juni,Musim Panas,Cerah,7665,6102,1563
2012-06-16,2012,Juni,Musim Panas,Cerah,7702,4739,2963
2012-06-17,2012,Juni,Musim Panas,Cerah,6978,4344,2634
2012-06-18,2012,Juni,Musim Panas,Mendung,5099,4446,653
2012-06-19,2012,Juni,Musim Panas,Cerah,6825,5857,968
2012-06-20,2012,Juni,Musim Panas,Cerah,6211,5339,872
2012-06-21,2012,Juni,Musim Gugur,Cerah,5905,5127,778
2012-06-22,2012,Juni,Musim Gugur,Cerah,5823,4859,964
2012-06-23,2012,Juni,Musim Gugur,Cerah,7458,4801,2657
2012-06-24,2012,Juni,Musim Gugur,Cerah,6891,4340,2551
2012-06-25,2012,Juni,Musim Gugur,Cerah,6779,5640,1139
2012-06-26,2012,Juni,Musim Gugur,Cerah,7442,6365,1077
2012-06-27,2012,Juni,Musim Gugur,Cerah,7335,6258,1077
2012-06-28,2012,Juni,Musim Gugur,Cerah,6879,5958,921
2012-06-29,2012,Juni,Musim Gugur,Cerah,5463,4634,829
2012-06-30,2012,Juni,Musim Gugur,Cerah,5687,4232,1455
2012-07-01,2012,Juli,Musim Gugur,Cerah,5531,4110,1421
2012-07-02,2012,Juli,Musim Gugur,Cerah,6227,5323,904
2012-07-03,2012,Juli,Musim Gugur,Cerah,6660,5608,1052
2012-07-04,2012,Juli,Musim Gugur,Cerah,7403,4841,2562
2012-07-05,2012,Juli,Musim Gugur,Cerah,6241,4836,1405
2012-07-06,2012,Juli,Musim Gugur,Cerah,6207,4841,1366
2012-07-07,2012,Juli,Musim Gugur,Cerah,4840,3392,1448
2012-07-08,2012,Juli,Musim Gugur,Cerah,4672,3469,1203
2012-07-09,2012,Juli,Musim Gugur,Mendung,6569,5571,998
2012-07-10,2012,Juli,Musim Gugur,Mendung,6290,5336,954
2012-07-11,2012,Juli,Musim Gugur,Cerah,7264,6289,975
2012-07-12,2012,Juli,Musim Gugur,Cerah,7446,6414,1032
2012-07-13,2012,Juli,Musim Gugur,Mendung,7499,5988,1511
2012-07-14,2012,Juli,Musim Gugur,Mendung,6969,4614,2355
2012-07-15,2012,Juli,Musim Gugur,Cerah,6031,4111,1920
2012-07-16,2012,Juli,Musim Gugur,Cerah,6830,5742,1088
2012-07-17,2012,Juli,Musim Gugur,Cerah,6786,5865,921
2012-07-18,2012,Juli,Musim Gugur,Cerah,5713,4914,799
2012-07-19,2012,Juli,Musim Gugur,Cerah,6591,5703,888
2012-07-20,2012,Juli,Musim Gugur,Mendung,5870,5123,747
2012-07-21,2012,Juli,Musim Gugur,Salju Ringan/Hujan,4459,3195,1264
2012-07-22,2012,Juli,Musim Gugur,Mendung,7410,4866,2544
2012-07-23,2012,Juli,Musim Gugur,Cerah,6966,5831,1135
2012-07-24,2012,Juli,Musim Gugur,Cerah,7592,6452,1140
2012-07-25,2012,Juli,Musim Gugur,Cerah,8173,6790,1383
2012-07-26,2012,Juli,Musim Gugur,Cerah,6861,5825,1036
2012-07-27,2012,Juli,Musim Gugur,Cerah,6904,5645,1259
2012-07-28,2012,Juli,Musim Gugur,Cerah,6685,4451,2234
2012-07-29,2012,Juli,Musim Gugur,Cerah,6597,4444,2153
2012-07-30,2012,Juli,Musim Gugur,Cerah,7105,6065,1040
2012-07-31,2012,Juli,Musim Gugur,Cerah,7216,6248,968
2012-08-01,2012,Agustus,Musim Gugur,Cerah,7580,6506,1074
2012-08-02,2012,Agustus,Musim Gugur,Cerah,7261,6278,983
2012-08-03,2012,Agustus,Musim Gugur,Mendung,7175,5847,1328
2012-08-04,2012,Agustus,Musim Gugur,Cerah,6824,4479,2345
2012-08-05,2012,Agustus,Musim Gugur,Cerah,5464,3757,1707
2012-08-06,2012,Agustus,Musim Gugur,Mendung,7013,5780,1233
2012-08-07,2012,Agustus,Musim Gugur,Mendung,7273,5995,1278
2012-08-08,2012,Agustus,Musim Gugur,Mendung,7534,6271,1263
2012-08-09,2012,Agustus,Musim Gugur,Cerah,7286,6090,1196
2012-08-10,2012,Agustus,Musim Gugur,Mendung,5786,4721,1065
2012-08-11,2012,Agustus,Musim Gugur,Mendung,6299,4052,2247
2012-08-12,2012,Agustus,Musim Gugur,Cerah,6544,4362,2182
2012-08-13,2012,Agustus,Musim Gugur,Cerah,6883,5676,1207
2012-08-14,2012,Agustus,Musim Gugur,Cerah,6784,5656,1128
2012-08-15,2012,Agustus,Musim Gugur,Cerah,7347,6149,1198
2012-08-16,2012,Agustus,Musim Gugur,Cerah,7605,6267,1338
2012-08-17,2012,Agustus,Musim Gugur,Cerah,7148,5665,1483
2012-08-18,2012,Agustus,Musim Gugur,Cerah,7865,5038,2827
2012-08-19,2012,Agustus,Musim Gugur,Mendung,4549,3341,1208
2012-08-20,2012,Agustus,Musim Gugur,Mendung,6530,5504,1026
2012-08-21,2012,Agustus,Musim Gugur,Cerah,7006,5925,1081
2012-08-22,2012,Agustus,Musim Gugur,Cerah,7375,6281,1094
2012-08-23,2012,Agustus,Musim Gugur,Cerah,7765,6402,1363
2012-08-24,2012,Agustus,Musim Gugur,Mendung,7582,6257,1325
2012-08-25,2012,Agustus,Musim Gugur,Mendung,6053,4224,1829
2012-08-26,2012,Agustus,Musim Gugur,Mendung,5255,3772,1483
2012-08-27,2012,Agustus,Musim Gugur,Cerah,6917,5928,989
2012-08-28,2012,Agustus,Musim Gugur,Cerah,7040,6105,935
2012-08-29,2012,Agustus,Musim Gugur,Cerah,7697,6520,1177
2012-08-30,2012,Agustus,Musim Gugur,Cerah,7713,6541,1172
2012-08-31,2012,Agustus,Musim Gugur,Cerah,7350,5917,1433
2012-09-01,2012,September,Musim Gugur,Mendung,6140,3788,2352
2012-09-02,2012,September,Musim Gugur,Mendung,5810,3197,2613
2012-09-03,2012,September,Musim Gugur,Cerah,6034,4069,1965
2012-09-04,2012,September,Musim Gugur,Cerah,6864,5997,867
2012-09-05,2012,September,Musim Gugur,Cerah,7112,6280,832
2012-09-06,2012,September,Musim Gugur,Mendung,6203,5592,611
2012-09-07,2012,September,Musim Gugur,Cerah,7504,6459,1045
2012-09-08,2012,September,Musim Gugur,Mendung,5976,4419,1557
2012-09-09,2012,September,Musim Gugur,Cerah,8227,5657,2570
2012-09-10,2012,September,Musim Gugur,Cerah,7525,6407,1118
2012-09-11,2012,September,Musim Gugur,Cerah,7767,6697,1070
2012-09-12,2012,September,Musim Gugur,Cerah,7870,6820,1050
2012-09-13,2012,September,Musim Gugur,Cerah,7804,6750,1054
2012-09-14,2012,September,Musim Gugur,Cerah,8009,6630,1379
2012-09-15,2012,September,Musim Gugur,Cerah,8714,5554,3160
2012-09-16,2012,September,Musim Gugur,Cerah,7333,5167,2166
2012-09-17,2012,September,Musim Gugur,Mendung,6869,5847,1022
2012-09-18,2012,September,Musim Gugur,Mendung,4073,3702,371
2012-09-19,2012,September,Musim Gugur,Cerah,7591,6803,788
2012-09-20,2012,September,Musim Gugur,Cerah,7720,6781,939
2012-09-21,2012,September,Musim Gugur,Cerah,8167,6917,1250
2012-09-22,2012,September,Musim Gugur,Cerah,8395,5883,2512
2012-09-23,2012,September,Musim Dingin,Cerah,7907,5453,2454
2012-09-24,2012,September,Musim Dingin,Cerah,7436,6435,1001
2012-09-25,2012,September,Musim Dingin,Cerah,7538,6693,845
2012-09-26,2012,September,Musim Dingin,Cerah,7733,6946,787
2012-09-27,2012,September,Musim Dingin,Mendung,7393,6642,751
2012-09-28,2012,September,Musim Dingin,Mendung,7415,6370,1045
2012-09-29,2012,September,Musim Dingin,Cerah,8555,5966,2589
2012-09-30,2012,September,Musim Dingin,Cerah,6889,4874,2015
2012-10-01,2012,Oktober,Musim Dingin,Mendung,6778,6015,763
2012-10-02,2012,Oktober,Musim Dingin,Salju Ringan/Hujan,4639,4324,315
2012-10-03,2012,Oktober,Musim Dingin,Mendung,7572,6844,728
2012-10-04,2012,Oktober,Musim Dingin,Mendung,7328,6437,891
2012-10-05,2012,Oktober,Musim Dingin,Cerah,8156,6640,1516
2012-10-06,2012,Oktober,Musim Dingin,Cerah,7965,4934,3031
2012-10-07,2012,Oktober,Musim Dingin,Mendung,3510,2729,781
2012-10-08,2012,Oktober,Musim Dingin,Mendung,5478,4604,874
2012-10-09,2012,Oktober,Musim Dingin,Mendung,6392,5791,601
2012-10-10,2012,Oktober,Musim Dingin,Cerah,7691,6911,780
2012-10-11,2012,Oktober,Musim Dingin,Cerah,7570,6736,834
2012-10-12,2012,Oktober,Musim Dingin,Cerah,7282,6222,1060
2012-10-13,2012,Oktober,Musim Dingin,Cerah,7109,4857,2252
2012-10-14,2012,Oktober,Musim Dingin,Cerah,6639,4559,2080
2012-10-15,2012,Oktober,Musim Dingin,Mendung,5875,5115,760
2012-10-16,2012,Oktober,Musim Dingin,Cerah,7534,6612,922
2012-10-17,2012,Oktober,Musim Dingin,Cerah,7461,6482,979
2012-10-18,2012,Oktober,Musim Dingin,Mendung,7509,6501,1008
2012-10-19,2012,Oktober,Musim Dingin,Mendung,5424,4671,753
2012-10-20,2012,Oktober,Musim Dingin,Cerah,8090,5284,2806
2012-10-21,2012,Oktober,Musim Dingin,Cerah,6824,4692,2132
2012-10-22,2012,Oktober,Musim Dingin,Cerah,7058,6228,830
2012-10-23,2012,Oktober,Musim Dingin,Cerah,7466,6625,841
2012-10-24,2012,Oktober,Musim Dingin,Cerah,7693,6898,795
2012-10-25,2012,Oktober,Musim Dingin,Mendung,7359,6484,875
2012-10-26,2012,Oktober,Musim Dingin,Mendung,7444,6262,1182
2012-10-27,2012,Oktober,Musim Dingin,Mendung,7852,5209,2643
2012-10-28,2012,Oktober,Musim Dingin,Mendung,4459,3461,998
2012-10-29,2012,Oktober,Musim Dingin,Salju Ringan/Hujan,22,20,2
2012-10-30,2012,Oktober,Musim Dingin,Mendung,1096,1009,87
2012-10-31,2012,Oktober,Musim Dingin,Mendung,5566,5147,419
2012-11-01,2012,November,Musim Dingin,Mendung,5986,5520,466
2012-11-02,2012,November,Musim Dingin,Cerah,5847,5229,618
2012-11-03,2012,November,Musim Dingin,Mendung,5138,4109,1029
2012-11-04,2012,November,Musim Dingin,Cerah,5107,3906,1201
2012-11-05,2012,November,Musim Dingin,Cerah,5259,4881,378
2012-11-06,2012,November,Musim Dingin,Cerah,5686,5220,466
2012-11-07,2012,November,Musim Dingin,Mendung,5035,4709,326
2012-11-08,2012,November,Musim Dingin,Cerah,5315,4975,340
2012-11-09,2012,November,Musim Dingin,Cerah,5992,5283,709
2012-11-10,2012,November,Musim Dingin,Cerah,6536,4446,2090
2012-11-11,2012,November,Musim Dingin,Cerah,6852,4562,2290
2012-11-12,2012,November,Musim Dingin,Cerah,6269,5172,1097
2012-11-13,2012,November,Musim Dingin,Mendung,4094,3767,327
2012-11-14,2012,November,Musim Dingin,Cerah,5495,5122,373
2012-11-15,2012,November,Musim Dingin,Mendung,5445,5125,320
2012-11-16,2012,November,Musim Dingin,Cerah,5698,5214,484
2012-11-17,2012,November,Musim Dingin,Cerah,5629,4316,1313
2012-11-18,2012,November,Musim Dingin,Cerah,4669,3747,922
2012-11-19,2012,November,Musim Dingin,Mendung,5499,5050,449
2012-11-20,2012,November,Musim Dingin,Mendung,5634,5100,534
2012-11-21,2012,November,Musim Dingin,Cerah,5146,4531,615
2012-11-22,2012,November,Musim Dingin,Cerah,2425,1470,955
2012-11-23,2012,November,Musim Dingin,Cerah,3910,2307,1603
2012-11-24,2012,November,Musim Dingin,Cerah,2277,1745,532
2012-11-25,2012,November,Musim Dingin,Cerah,2424,2115,309
2012-11-26,2012,November,Musim Dingin,Cerah,5087,4750,337
2012-11-27,2012,November,Musim Dingin,Mendung,3959,3836,123
2012-11-28,2012,November,Musim Dingin,Cerah,5260,5062,198
2012-11-29,2012,November,Musim Dingin,Cerah,5323,5080,243
2012-11-30,2012,November,Musim Dingin,Cerah,5668,5306,362
2012-12-01,2012,Desember,Musim Dingin,Mendung,5191,4240,951
2012-12-02,2012,Desember,Musim Dingin,Mendung,4649,3757,892
2012-12-03,2012,Desember,Musim Dingin,Cerah,6234,5679,555
2012-12-04,2012,Desember,Musim Dingin,Cerah,6606,6055,551
2012-12-05,2012,Desember,Musim Dingin,Cerah,5729,5398,331
2012-12-06,2012,Desember,Musim Dingin,Cerah,5375,5035,340
2012-12-07,2012,Desember,Musim Dingin,Mendung,5008,4659,349
2012-12-08,2012,Desember,Musim Dingin,Mendung,5582,4429,1153
2012-12-09,2012,Desember,Musim Dingin,Mendung,3228,2787,441
2012-12-10,2012,Desember,Musim Dingin,Mendung,5170,4841,329
2012-12-11,2012,Desember,Musim Dingin,Mendung,5501,5219,282
2012-12-12,2012,Desember,Musim Dingin,Mendung,5319,5009,310
2012-12-13,2012,Desember,Musim Dingin,Cerah,5532,5107,425
2012-12-14,2012,Desember,Musim Dingin,Cerah,5611,5182,429
2012-12-15,2012,Desember,Musim Dingin,Cerah,5047,4280,767
2012-12-16,2012,Desember,Musim Dingin,Mendung,3786,3248,538
2012-12-17,2012,Desember,Musim Dingin,Mendung,4585,4373,212
2012-12-18,2012,Desember,Musim Dingin,Cerah,5557,5124,433
2012-12-19,2012,Desember,Musim Dingin,Cerah,5267,4934,333
2012-12-20,2012,Desember,Musim Dingin,Mendung,4128,3814,314
2012-12-21,2012,Desember,Musim Semi,Mendung,3623,3402,221
2012-12-22,2012,Desember,Musim Semi,Cerah,1749,1544,205
2012-12-23,2012,Desember,Musim Semi,Cerah,1787,1379,408
2012-12-24,2012,Desember,Musim Semi,Mendung,920,746,174
2012-12-25,2012,Desember,Musim Semi,Mendung,1013,573,440
2012-12-26,2012,Desember,Musim Semi,Salju Ringan/Hujan,441,432,9
2012-12-27,2012,Desember,Musim Semi,Mendung,2114,1867,247
2012-12-28,2012,Desember,Musim Semi,Mendung,3095,2451,644
2012-12-29,2012,Desember,Musim Semi,Mendung,1341,1182,159
2012-12-30,2012,Desember,Musim Semi,Cerah,1796,1432,364
2012-12-31,2012,Desember,Musim Semi,Mendung,2729,2290,439
